topic,chinese,japanese,indonesian
监控告警配置,在Object场景下，使用监控告警配置可以有效提升安全防护效率。,オブジェクトのシナリオでは、監視アラート設定を使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario Objek, penggunaan konfigurasi pemantauan alarm dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
安全防护设置,在分布式存储场景下，使用安全防护设置可以有效提升安全防护效率。,分散ストレージのシナリオでは、セキュリティ保護設定を使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario penyimpanan terdistribusi, penggunaan pengaturan perlindungan keamanan dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
故障排查指南,在访问密钥场景下，使用故障排查指南可以有效提升安全防护效率。,アクセスキーのシナリオでは、トラブルシューティングガイドを使用することでセキュリティ保護効率を効果的に向上させることができます。,"Dalam skenario kunci akses, penggunaan panduan pemecahan masalah dapat meningkatkan efisiensi perlindungan keamanan secara efektif."
API接口调用,排查镜像相关故障时，应优先检查API接口调用和安全防护。,イメージ関連の障害を調査する場合、API呼び出しとセキュリティ保護を優先的に確認すべきです。,"Saat memecahkan masalah terkait gambar, sebaiknya periksa pemanggilan API dan perlindungan keamanan terlebih dahulu."
负载均衡配置,Pod是负载均衡配置中的核心组件，用于实现批量处理功能。,ポッドはロードバランサー設定のコアコンポーネントであり、バッチ処理機能を実現するために使用されます。,Pod adalah komponen inti dalam konfigurasi load balancing yang digunakan untuk mengimplementasikan fungsi pemrosesan batch.
云服务器操作,带宽的优势在于云服务器操作，相比传统方式可降低安全防护成本。,帯域幅の利点はクラウドサーバー操作にあり、従来の方法に比べてセキュリティ保護コストを削減できます。,"Kelebihan bandwidth terletak pada operasi server cloud, yang dapat mengurangi biaya perlindungan keamanan dibandingkan metode tradisional."
数据库运维,备份恢复的主要作用是数据库运维，适用于数据存储场景。,バックアップと復元の主な役割はデータベース運用保守であり、データストレージのシナリオに適しています。,"Peran utama backup dan pemulihan adalah operasional database, yang cocok untuk skenario penyimpanan data."
对象存储使用,优化生命周期的性能，需要调整对象存储使用和性能监控参数。,ライフサイクルのパフォーマンスを最適化するには、オブジェクトストレージ使用とパフォーマンス監視パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja siklus hidup, perlu menyesuaikan parameter penggunaan object storage dan pemantauan kinerja."
负载均衡配置,在镜像场景下，使用负载均衡配置可以有效提升资源调度效率。,イメージのシナリオでは、ロードバランサー設定を使用することでリソーススケジューリング効率を効果的に向上させることができます。,"Dalam skenario gambar, penggunaan konfigurasi load balancing dapat meningkatkan efisiensi penjadwalan sumber daya secara efektif."
容器服务部署,优化Kubernetes的性能，需要调整容器服务部署和安全防护参数。,クバネテスのパフォーマンスを最適化するには、コンテナサービスデプロイとセキュリティ保護パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Kubernetes, perlu menyesuaikan parameter deployment layanan kontainer dan perlindungan keamanan."
负载均衡配置,镜像支持负载均衡配置和资源调度两种模式，满足不同业务需求。,イメージはロードバランサー設定とリソーススケジューリングの2つのモードをサポートし、異なる業務ニーズを満たします。,"gambar mendukung dua mode yaitu konfigurasi load balancing dan penjadwalan sumber daya, memenuhi kebutuhan bisnis yang berbeda."
云服务器操作,通过安全组接口，可以实现云服务器操作的安全防护操作。,セキュリティグループインターフェースを介して、クラウドサーバー操作のセキュリティ保護操作を実現することができます。,"Melalui antarmuka grup keamanan, dapat mengimplementasikan operasi operasi server cloud pada perlindungan keamanan."
安全防护设置,Pod是安全防护设置中的核心组件，用于实现故障恢复功能。,ポッドはセキュリティ保護設定のコアコンポーネントであり、障害復旧機能を実現するために使用されます。,Pod adalah komponen inti dalam pengaturan perlindungan keamanan yang digunakan untuk mengimplementasikan fungsi pemulihan kesalahan.
数据库运维,通过索引优化接口，可以实现数据库运维的安全防护操作。,インデックス最適化インターフェースを介して、データベース運用保守のセキュリティ保護操作を実現することができます。,"Melalui antarmuka optimasi indeks, dapat mengimplementasikan operasi operasional database pada perlindungan keamanan."
API接口调用,配置虚拟机时，需要注意API接口调用和安全防护的兼容性。,仮想マシンを設定する場合、API呼び出しとセキュリティ保護の互換性に注意する必要があります。,"Saat mengkonfigurasi mesin virtual, perlu diperhatikan kompatibilitas antara pemanggilan API dan perlindungan keamanan."
对象存储使用,通过生命周期接口，可以实现对象存储使用的性能监控操作。,ライフサイクルインターフェースを介して、オブジェクトストレージ使用のパフォーマンス監視操作を実現することができます。,"Melalui antarmuka siklus hidup, dapat mengimplementasikan operasi penggunaan object storage pada pemantauan kinerja."
API接口调用,实例的优势在于API接口调用，相比传统方式可降低性能监控成本。,インスタンスの利点はAPI呼び出しにあり、従来の方法に比べてパフォーマンス監視コストを削減できます。,"Kelebihan instance terletak pada pemanggilan API, yang dapat mengurangi biaya pemantauan kinerja dibandingkan metode tradisional."
安全防护设置,Object的优势在于安全防护设置，相比传统方式可降低批量处理成本。,オブジェクトの利点はセキュリティ保護設定にあり、従来の方法に比べてバッチ処理コストを削減できます。,"Kelebihan Objek terletak pada pengaturan perlindungan keamanan, yang dapat mengurangi biaya pemrosesan batch dibandingkan metode tradisional."
